ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type
39016,ELEC,City of Raleigh - Municipal Building,Raleigh,NC,27601,E,35.778416,-78.64347,STREET_PARKING
39017,ELEC,City of Raleigh - Downtown,Raleigh,NC,27601,E,35.77435,-78.642287,STREET_PARKING
40066,ELEC,Modern Nissan - Concord,Concord,NC,28027,E,35.392063,-80.622777,CAR_DEALER
40067,ELEC,Fred Anderson Nissan,Fayetteville,NC,28304,E,35.042419,-78.956747,CAR_DEALER
40068,ELEC,Vann Yorks High Point Nissan,High Point,NC,27260,E,35.937981,-79.996012,CAR_DEALER
40069,ELEC,Nissan of Lumberton,Lumberton,NC,28358,E,34.634487,-78.997134,CAR_DEALER
40745,ELEC,Marriott Hotel - Underground Deck,Raleigh,NC,27601,E,35.772881,-78.638502,HOTEL
40747,ELEC,City of Raleigh - Performing Arts Center Deck,Raleigh,NC,27601,E,35.772619,-78.641492,PAY_GARAGE
40751,ELEC,City of Raleigh - Wilmington Station Deck,Raleigh,NC,27601,E,35.77937,-78.638203,PAY_GARAGE
40854,ELEC,Neal's Garage,Durham,NC,27705,E,36.009999,-78.921405,GAS_STATION
41553,ELEC,Wilkerson Nature Preserve Park,Raleigh,NC,27614,E,35.92353,-78.599883,PARK
42396,ELEC,Raleigh Municipal Building Deck,Raleigh,NC,27601,E,35.779082,-78.641779,MUNI_GOV
42397,ELEC,City of Raleigh,Raleigh,NC,27601,T,35.777283,-78.639281,STREET_PARKING
42398,ELEC,City of Raleigh - Walnut Creek Wetland Center,Raleigh,NC,27610,E,35.760503,-78.625345,PARK
42399,ELEC,City of Raleigh - Optimist Park and Community Center,Raleigh,NC,27609,E,35.862603,-78.643641,REC_SPORTS_FACILITY
42400,ELEC,City of Raleigh - Jaycee Park and Community Center,Raleigh,NC,27607,E,35.800443,-78.663445,REC_SPORTS_FACILITY
42401,ELEC,City of Raleigh - Wilders Grove,Raleigh,NC,27610,E,35.788789,-78.573106,MUNI_GOV
42402,ELEC,City of Raleigh - Transit Center,Raleigh,NC,27610,E,35.767483,-78.563464,MUNI_GOV
42403,ELEC,City of Raleigh - Transit Center,Raleigh,NC,27610,E,35.767483,-78.563464,MUNI_GOV
42927,ELEC,The Green Parking Garage,Charlotte,NC,28202,E,35.223874,-80.846273,PAY_GARAGE
43324,ELEC,North Carolina State University - McKimmon Center and Solar House,Raleigh,NC,27606,E,35.78214,-78.6864,COLLEGE_CAMPUS
43363,ELEC,Taylor Automotive,Sanford,NC,27330,E,35.49416,-79.180591,CAR_DEALER
43876,ELEC,Carolina Nissan,Burlington,NC,27215,E,36.063557,-79.503697,CAR_DEALER
43877,ELEC,Carolina Nissan,Burlington,NC,27215,E,36.063557,-79.503697,CAR_DEALER
43880,ELEC,North Carolina State University - Joyner Visitor Center,Raleigh,NC,27606,E,35.784037,-78.684667,COLLEGE_CAMPUS
44301,ELEC,Northern Wake Tech Community College,Raleigh,NC,27616,E,35.867552,-78.543695,COLLEGE_CAMPUS
44302,ELEC,Whole Foods Market,Raleigh,NC,27615,E,35.898899,-78.650239,GROCERY
44376,ELEC,Asheville Chamber of Commerce & Visitors Center,Asheville,NC,28801,E,35.597527,-82.560582,MUNI_GOV
44377,ELEC,College Street Parking Deck,Asheville,NC,28801,E,35.597377,-82.549206,PAY_GARAGE
