ST,STATE,STCNTY,COUNTY,FIPS,SVI
37,NORTH CAROLINA,37001,Alamance,37001020100,0.7038
37,NORTH CAROLINA,37001,Alamance,37001020200,0.9324
37,NORTH CAROLINA,37001,Alamance,37001020300,0.9773
37,NORTH CAROLINA,37001,Alamance,37001020400,0.9607
37,NORTH CAROLINA,37001,Alamance,37001020501,0.6127
37,NORTH CAROLINA,37001,Alamance,37001020502,0.9579
37,NORTH CAROLINA,37001,Alamance,37001020601,0.0227
37,NORTH CAROLINA,37001,Alamance,37001020602,0.3457
37,NORTH CAROLINA,37001,Alamance,37001020701,0.4993
37,NORTH CAROLINA,37001,Alamance,37001020702,0.6964
37,NORTH CAROLINA,37001,Alamance,37001020801,0.4845
37,NORTH CAROLINA,37001,Alamance,37001020802,0.9329
37,NORTH CAROLINA,37001,Alamance,37001020901,0.6719
37,NORTH CAROLINA,37001,Alamance,37001020902,0.5035
37,NORTH CAROLINA,37001,Alamance,37001021000,0.9783
37,NORTH CAROLINA,37001,Alamance,37001021101,0.6747
37,NORTH CAROLINA,37001,Alamance,37001021102,0.77
37,NORTH CAROLINA,37001,Alamance,37001021201,0.82
37,NORTH CAROLINA,37001,Alamance,37001021204,0.3406
37,NORTH CAROLINA,37001,Alamance,37001021205,0.4382
37,NORTH CAROLINA,37001,Alamance,37001021206,0.5609
37,NORTH CAROLINA,37001,Alamance,37001021207,0.5576
37,NORTH CAROLINA,37001,Alamance,37001021300,0.4489
37,NORTH CAROLINA,37001,Alamance,37001021400,0.4618
37,NORTH CAROLINA,37001,Alamance,37001021500,0.4109
37,NORTH CAROLINA,37001,Alamance,37001021600,0.4887
37,NORTH CAROLINA,37001,Alamance,37001021701,0.218
37,NORTH CAROLINA,37001,Alamance,37001021702,0.2517
37,NORTH CAROLINA,37001,Alamance,37001021703,0.3466
37,NORTH CAROLINA,37001,Alamance,37001021801,0.155
37,NORTH CAROLINA,37001,Alamance,37001021802,0.2041
37,NORTH CAROLINA,37001,Alamance,37001021803,0.2073
37,NORTH CAROLINA,37001,Alamance,37001021901,0.1596
37,NORTH CAROLINA,37001,Alamance,37001021902,0.1624
37,NORTH CAROLINA,37001,Alamance,37001022001,0.3966
37,NORTH CAROLINA,37001,Alamance,37001022002,0.5414
37,NORTH CAROLINA,37003,Alexander,37003040100,0.3142
37,NORTH CAROLINA,37003,Alexander,37003040200,0.2638
37,NORTH CAROLINA,37003,Alexander,37003040300,0.5882
37,NORTH CAROLINA,37003,Alexander,37003040400,0.8973
37,NORTH CAROLINA,37003,Alexander,37003040500,0.6701
37,NORTH CAROLINA,37003,Alexander,37003040600,0.4419
37,NORTH CAROLINA,37003,Alexander,37003040700,0.2827
37,NORTH CAROLINA,37005,Alleghany,37005950100,0.5720000000000001
37,NORTH CAROLINA,37005,Alleghany,37005950200,0.8709
37,NORTH CAROLINA,37005,Alleghany,37005950300,0.4563
37,NORTH CAROLINA,37007,Anson,37007920100,0.5382
