recordid,nriptr,stratum,cluster,xfact,fips,hydro,mhydro,mlra,bailey,split,impute,impute87,wifact,wcfact,urfact,ukfact,usleflag,s5id,s5name,surftxt,txtmod,loslope,hislope,flood,ophase,tfact
37001010001,249587,37001,1,1,37001,03030002,0303,136,231A,,2,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001010002,288554,37001,1,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001010003,274351,37001,1,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,15,25,NONE,0,5
37001010004,274167,37001,1,17,37001,03030002,0303,136,231A,,0,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,10,15,NONE,0,4
37001010005,288554,37001,1,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.28,0,VA0046,ORANGE,SIL,NON,6,10,NONE,0,3
37001010006,249587,37001,1,25,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001010007,274175,37001,1,26,37001,03030002,0303,136,231A,,0,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,6,10,NONE,ERODED,4
37001010008,249587,37001,1,1,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001010009,215428,37001,1,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001010010,250974,37001,1,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001010011,249110,37001,1,15,37001,03030002,0303,136,231A,,0,0,56,0,230,0.28,0,NC0018,CECIL,CL,NON,6,15,NONE,ERODED,3
37001010012,216529,37001,1,16,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,GA0014,DAVIDSON,CL,NON,2,6,NONE,ERODED,5
37001010013,250968,37001,1,15,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,NC0170,GASTON,CL,NON,2,6,NONE,ERODED,4
37001010014,250034,37001,1,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.28,0,NC0057,HIWASSEE,CL,NON,10,15,NONE,ERODED,5
37001010015,250034,37001,1,5,37001,03030002,0303,136,231A,,1,0,48,0,230,0.28,0,NC0057,HIWASSEE,CL,NON,10,15,NONE,ERODED,5
37001010016,249594,37001,1,8,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0032,APPLING,SL,NON,6,10,NONE,0,4
37001010017,250034,37001,1,8,37001,03030002,0303,136,231A,,0,0,48,0,230,0.28,0,NC0057,HIWASSEE,CL,NON,10,15,NONE,ERODED,5
37001010018,250437,37001,1,23,37001,03030002,0303,136,231A,,0,0,56,0,230,0.24,0,NC0072,MECKLENBURG,L,NON,6,10,NONE,ERODED,4
37001010019,250113,37001,1,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001010020,249208,37001,1,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.28,0,NC0018,CECIL,SL,NON,6,10,NONE,0,4
37001010021,250113,37001,1,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001010022,214123,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001010023,214095,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001010024,250113,37001,1,16,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001010025,214052,37001,1,16,37001,03030002,0303,136,231A,,0,0,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,2,6,NONE,0,0
37001010026,250110,37001,1,16,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,2,6,NONE,0,4
37001010027,274352,37001,1,2,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001010028,274352,37001,1,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001010029,274352,37001,1,2,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001010030,249492,37001,1,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,0,1
37001010031,214123,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001010032,250113,37001,1,1,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001010033,249501,37001,1,15,37001,03030002,0303,136,231A,,0,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,15,25,NONE,0,1
37001010034,249424,37001,1,16,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0030,ENON,FSL,NON,2,6,NONE,ERODED,3
37001010035,249587,37001,1,2,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001010036,287954,37001,1,24,37001,03030002,0303,136,231A,,0,2,86,0,230,0.28,0,VA0009,WORSHAM,SL,NON,2,6,NONE,0,4
37001010037,249587,37001,1,2,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001010038,214123,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001010039,249492,37001,1,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,0,1
37001010040,249491,37001,1,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,ERODED,1
37001010041,274171,37001,1,1,37001,03030002,0303,136,231A,,1,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,ERODED,4
37001010042,214123,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001010043,249492,37001,1,2,37001,03030002,0303,136,231A,,1,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,0,1
37001010044,214095,37001,1,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001010045,249491,37001,1,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,ERODED,1
37001020001,213857,37001,2,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,15,NONE,0,0
37001020002,213857,37001,2,3,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,15,NONE,0,0
37001020003,213857,37001,2,3,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,15,NONE,0,0
37001020004,213857,37001,2,13,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,15,NONE,0,0
37001020005,249200,37001,2,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.28,0,NC0018,CECIL,SL,NON,2,6,NONE,ERODED,4
37001020006,250974,37001,2,1,37001,03030002,0303,136,231A,,1,0,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
